Date,Residuals
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
2023-05-02,300014777.68341154
