Date,Actual Prices,Predicted Prices
2023-05-02,28262.82347,27950.438
2023-05-02,28262.82347,27953.465
2023-05-02,28262.82347,27957.658
2023-05-02,28262.82347,27959.514
2023-05-02,28262.82347,27959.924
2023-05-02,28262.82347,27958.842
2023-05-02,28262.82347,27959.21
2023-05-02,28262.82347,27959.648
2023-05-02,28262.82347,27959.74
2023-05-02,28262.82347,27959.254
2023-05-02,28262.82347,27960.305
2023-05-02,28262.82347,27960.232
2023-05-02,28262.82347,27959.258
2023-05-02,28262.82347,27959.766
2023-05-02,28262.82347,27961.533
2023-05-02,28262.82347,27963.797
2023-05-02,28262.82347,27964.172
2023-05-02,28262.82347,27965.19
2023-05-02,28262.82347,27966.03
2023-05-02,28262.82347,27966.727
2023-05-02,28262.82347,27965.613
2023-05-02,28262.82347,27963.057
2023-05-02,28262.82347,27958.922
2023-05-02,28262.82347,27957.484
2023-05-02,28262.82347,27955.176
2023-05-02,28262.82347,27954.977
2023-05-02,28262.82347,27956.938
2023-05-02,28262.82347,27957.305
2023-05-02,28262.82347,27956.887
2023-05-02,28262.82347,27956.791
2023-05-02,28262.82347,27957.25
2023-05-02,28262.82347,27957.938
2023-05-02,28262.82347,27957.707
2023-05-02,28262.82347,27956.176
2023-05-02,28262.82347,27957.818
2023-05-02,28262.82347,27959.564
2023-05-02,28262.82347,27960.596
2023-05-02,28262.82347,27963.227
2023-05-02,28262.82347,27964.836
2023-05-02,28262.82347,27964.143
2023-05-02,28262.82347,27963.334
2023-05-02,28262.82347,27965.854
2023-05-02,28262.82347,27968.902
2023-05-02,28262.82347,27969.875
2023-05-02,28262.82347,27969.135
2023-05-02,28262.82347,27967.059
2023-05-02,28262.82347,27964.92
2023-05-02,28262.82347,27962.14
2023-05-02,28262.82347,27960.137
2023-05-02,28262.82347,27955.703
2023-05-02,28262.82347,27953.871
2023-05-02,28262.82347,27950.97
2023-05-02,28262.82347,27948.543
2023-05-02,28262.82347,27949.861
2023-05-02,28262.82347,27951.236
2023-05-02,28262.82347,27951.887
2023-05-02,28262.82347,27953.795
2023-05-02,28262.82347,27958.1
2023-05-02,28262.82347,27961.93
2023-05-02,28262.82347,27965.191
2023-05-02,28262.82347,27968.963
2023-05-02,28262.82347,27970.008
2023-05-02,28262.82347,27971.002
2023-05-02,28262.82347,27969.857
2023-05-02,28262.82347,27964.783
2023-05-02,28262.82347,27959.494
2023-05-02,28262.82347,27953.662
2023-05-02,28262.82347,27948.816
2023-05-02,28262.82347,27945.82
2023-05-02,28262.82347,27948.07
2023-05-02,28262.82347,27951.176
2023-05-02,28262.82347,27954.91
2023-05-02,28262.82347,27960.096
2023-05-02,28262.82347,27964.182
2023-05-02,28262.82347,27970.273
2023-05-02,28262.82347,27974.781
2023-05-02,28262.82347,27975.715
2023-05-02,28262.82347,27975.705
2023-05-02,28262.82347,27974.596
2023-05-02,28262.82347,27972.111
2023-05-02,28262.82347,27966.832
2023-05-02,28262.82347,27962.48
2023-05-02,28262.82347,27958.041
2023-05-02,28262.82347,27955.654
2023-05-02,28262.82347,27955.584
2023-05-02,28262.82347,27957.195
2023-05-02,28262.82347,27959.959
2023-05-02,28262.82347,27962.367
2023-05-02,28262.82347,27964.62
2023-05-02,28262.82347,27965.936
2023-05-02,28262.82347,27966.418
2023-05-02,28262.82347,27966.135
2023-05-02,28262.82347,27963.826
2023-05-02,28262.82347,27960.36
2023-05-02,28262.82347,27956.559
2023-05-02,28262.82347,27954.094
2023-05-02,28262.82347,27952.898
2023-05-02,28262.82347,27950.709
2023-05-02,28262.82347,27946.13
2023-05-02,28262.82347,27942.287
2023-05-02,28262.82347,27938.822
2023-05-02,28262.82347,27936.896
2023-05-02,28262.82347,27935.883
2023-05-02,28262.82347,27935.445
2023-05-02,28262.82347,27934.262
2023-05-02,28262.82347,27934.307
2023-05-02,28262.82347,27936.172
2023-05-02,28262.82347,27938.037
2023-05-02,28262.82347,27941.158
2023-05-02,28262.82347,27944.285
2023-05-02,28262.82347,27947.035
2023-05-02,28262.82347,27948.256
2023-05-02,28262.82347,27949.195
2023-05-02,28262.82347,27951.629
2023-05-02,28262.82347,27953.928
2023-05-02,28262.82347,27955.586
2023-05-02,28262.82347,27957.537
2023-05-02,28262.82347,27958.33
2023-05-02,28262.82347,27960.693
2023-05-02,28262.82347,27961.75
2023-05-02,28262.82347,27966.156
2023-05-02,28262.82347,27969.484
2023-05-02,28262.82347,27972.057
2023-05-02,28262.82347,27973.746
2023-05-02,28262.82347,27976.502
2023-05-02,28262.82347,27975.95
2023-05-02,28262.82347,27973.285
2023-05-02,28262.82347,27969.957
2023-05-02,28262.82347,27964.887
2023-05-02,28262.82347,27960.438
2023-05-02,28262.82347,27955.012
2023-05-02,28262.82347,27953.209
2023-05-02,28262.82347,27952.62
2023-05-02,28262.82347,27955.002
2023-05-02,28262.82347,27957.203
2023-05-02,28262.82347,27960.768
2023-05-02,28262.82347,27966.404
2023-05-02,28262.82347,27971.54
2023-05-02,28262.82347,27976.424
2023-05-02,28262.82347,27981.424
2023-05-02,28262.82347,27984.766
2023-05-02,28262.82347,27985.855
2023-05-02,28262.82347,27983.44
2023-05-02,28262.82347,27977.332
2023-05-02,28262.82347,27972.438
2023-05-02,28262.82347,27968.77
2023-05-02,28262.82347,27964.756
2023-05-02,28262.82347,27960.71
2023-05-02,28262.82347,27958.527
2023-05-02,28262.82347,27955.895
2023-05-02,28262.82347,27955.72
2023-05-02,28262.82347,27957.871
2023-05-02,28262.82347,27961.842
2023-05-02,28262.82347,27963.578
2023-05-02,28262.82347,27964.867
2023-05-02,28262.82347,27964.729
2023-05-02,28262.82347,27962.951
2023-05-02,28262.82347,27961.6
2023-05-02,28262.82347,27959.604
2023-05-02,28262.82347,27958.434
2023-05-02,28262.82347,27955.951
2023-05-02,28262.82347,27951.832
2023-05-02,28262.82347,27949.871
2023-05-02,28262.82347,27948.766
2023-05-02,28262.82347,27946.227
2023-05-02,28262.82347,27944.105
2023-05-02,28262.82347,27941.572
2023-05-02,28262.82347,27941.512
2023-05-02,28262.82347,27941.084
2023-05-02,28262.82347,27941.195
2023-05-02,28262.82347,27940.135
2023-05-02,28262.82347,27938.21
2023-05-02,28262.82347,27936.29
2023-05-02,28262.82347,27936.146
2023-05-02,28262.82347,27936.102
2023-05-02,28262.82347,27937.088
2023-05-02,28262.82347,27938.877
2023-05-02,28262.82347,27941.469
2023-05-02,28262.82347,27945.19
2023-05-02,28262.82347,27949.123
2023-05-02,28262.82347,27952.383
2023-05-02,28262.82347,27955.438
2023-05-02,28262.82347,27958.033
2023-05-02,28262.82347,27959.596
2023-05-02,28262.82347,27959.604
2023-05-02,28262.82347,27958.36
2023-05-02,28262.82347,27957.67
2023-05-02,28262.82347,27957.605
2023-05-02,28262.82347,27957.86
2023-05-02,28262.82347,27958.545
2023-05-02,28262.82347,27961.504
2023-05-02,28262.82347,27966.016
2023-05-02,28262.82347,27970.182
2023-05-02,28262.82347,27974.072
2023-05-02,28262.82347,27977.207
2023-05-02,28262.82347,27981.568
2023-05-02,28262.82347,27982.824
2023-05-02,28262.82347,27982.58
2023-05-02,28262.82347,27978.344
2023-05-02,28262.82347,27973.562
2023-05-02,28262.82347,27969.045
2023-05-02,28262.82347,27966.416
2023-05-02,28262.82347,27963.244
2023-05-02,28262.82347,27961.773
2023-05-02,28262.82347,27962.674
2023-05-02,28262.82347,27963.814
2023-05-02,28262.82347,27966.254
2023-05-02,28262.82347,27967.377
2023-05-02,28262.82347,27969.375
2023-05-02,28262.82347,27969.16
2023-05-02,28262.82347,27968.549
2023-05-02,28262.82347,27965.834
2023-05-02,28262.82347,27963.309
2023-05-02,28262.82347,27960.557
2023-05-02,28262.82347,27957.117
2023-05-02,28262.82347,27953.293
2023-05-02,28262.82347,27948.654
2023-05-02,28262.82347,27945.812
2023-05-02,28262.82347,27945.762
2023-05-02,28262.82347,27948.396
2023-05-02,28262.82347,27952.3
2023-05-02,28262.82347,27956.578
2023-05-02,28262.82347,27959.377
2023-05-02,28262.82347,27960.084
2023-05-02,28262.82347,27960.838
2023-05-02,28262.82347,27959.887
2023-05-02,28262.82347,27960.812
2023-05-02,28262.82347,27961.16
2023-05-02,28262.82347,27960.451
2023-05-02,28262.82347,27958.066
2023-05-02,28262.82347,27953.713
2023-05-02,28262.82347,27949.229
2023-05-02,28262.82347,27945.82
2023-05-02,28262.82347,27943.787
2023-05-02,28262.82347,27944.06
2023-05-02,28262.82347,27943.322
2023-05-02,28262.82347,27943.207
2023-05-02,28262.82347,27945.166
2023-05-02,28262.82347,27948.783
2023-05-02,28262.82347,27953.223
2023-05-02,28262.82347,27957.814
2023-05-02,28262.82347,27962.541
2023-05-02,28262.82347,27967.287
2023-05-02,28262.82347,27970.494
2023-05-02,28262.82347,27972.107
2023-05-02,28262.82347,27974.76
2023-05-02,28262.82347,27975.955
2023-05-02,28262.82347,27975.008
2023-05-02,28262.82347,27973.045
2023-05-02,28262.82347,27969.15
2023-05-02,28262.82347,27965.322
2023-05-02,28262.82347,27961.105
2023-05-02,28262.82347,27959.146
2023-05-02,28262.82347,27958.35
2023-05-02,28262.82347,27958.5
2023-05-02,28262.82347,27959.266
2023-05-02,28262.82347,27959.613
2023-05-02,28262.82347,27958.166
2023-05-02,28262.82347,27957.115
2023-05-02,28262.82347,27958.605
2023-05-02,28262.82347,27961.3
2023-05-02,28262.82347,27962.188
2023-05-02,28262.82347,27961.514
2023-05-02,28262.82347,27961.19
